Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Premia Badam (Almonds) : 500 gms,524,393,500 gm,Premia,0.79,131,25.0,DMART,500.0,gm,786.0
ProV Select California Almonds : 1 kg,1349,599,1 kg,ProV,599.0,750,55.6,DMART,1.0,kg,599.0
Chana Dal : 500 gms,74,53,500 gm,Chana,0.11,21,28.38,DMART,500.0,gm,106.0
Premia Chana Dal : 1 Kgs,133,104,1 kg,Premia,0.11,29,21.8,DMART,1.0,kg,104.0
Nutraj California Almonds : 1 kg,1149,739,1 kg,Nutraj,739.0,410,35.68,DMART,1.0,kg,739.0
Prov Independence California Almonds : 500 gms,698,309,500 gm,Prov,0.62,389,55.73,DMART,500.0,gm,618.0
Rajma Kashmiri Red : 500 gms,158,106,500 gm,Rajma,0.21,52,32.91,DMART,500.0,gm,212.0
Swaad Badam : 500 gm,468,329,500 gm,Swaad,0.66,139,29.7,DMART,500.0,gm,658.0
Rajma White : 500 gms,156,112,500 gm,Rajma,0.22,44,28.21,DMART,500.0,gm,224.0
Tata Sampann Chana Dal : 500 gms,78,70,500 gm,Tata,0.14,8,10.26,DMART,500.0,gm,140.0
Wonderland California Almonds : 500 gms,725,359,500 gm,Wonderland,0.72,366,50.48,DMART,500.0,gm,718.0
Premia Mamra Badam : 200 gms,599,340,200 gm,Premia,1.7,259,43.24,DMART,200.0,gm,1700.0
Rajma Red Small : 500 gms,129,99,500 gm,Rajma,0.2,30,23.26,DMART,500.0,gm,198.0
Nutraj Almond : 200 gms,299,179,200 gm,Nutraj,0.9,120,40.13,DMART,200.0,gm,895.0
Satyam Rajma Pink : 500 gms,152,141,500 gm,Satyam,0.28,11,7.24,DMART,500.0,gm,282.0
DMart Healthy Choice Unpolished Chana Dal : 1 kg,152,106,1 kg,DMart,106.0,46,30.26,DMART,1.0,kg,106.0
Premia Badam American : 1 kg,922,727,1 kg,Premia,727.0,195,21.15,DMART,1.0,kg,727.0
Tata Sampann 100% Organic Unpolished Chana Dal : 1 kg,210,189,1 kg,Tata,189.0,21,10.0,DMART,1.0,kg,189.0
KMK Almond Mamra (Badam) : 200 gms,750,575,200 gm,KMK,2.88,175,23.33,DMART,200.0,gm,2875.0
KMK Almond American (Badam) : 200 gms,258,168,200 gm,KMK,0.84,90,34.88,DMART,200.0,gm,840.0
Satyam Rajma Sharmili : 500 gms,142,132,500 gm,Satyam,0.26,10,7.04,DMART,500.0,gm,264.0
Satyam Chana Dal : 500 gms,91,84,500 gm,Satyam,0.17,7,7.69,DMART,500.0,gm,168.0
Tata Sampann Organic Unpolished Rajma Red : 500 gms,180,162,500 gm,Tata,0.32,18,10.0,DMART,500.0,gm,324.0
Premia Chana Dal : 500 gms,74,55,500 gm,Premia,0.32,19,25.68,DMART,500.0,gm,110.0
Premia Rajma Kashmiri : 500 gms,158,108,500 gm,Premia,0.32,50,31.65,DMART,500.0,gm,216.0
Moong Dal : 1 kg,188,152,1 kg,Moong,152.0,36,19.15,DMART,1.0,kg,152.0
Nutraj Cashews : 500 gms,699,399,500 gm,Nutraj,0.8,300,42.92,DMART,500.0,gm,798.0
Tata Sampann Moong Dal : 1 kg,214,162,1 kg,Tata,162.0,52,24.3,DMART,1.0,kg,162.0
Premia Regular Kaju (Cashews) - 320 : 500 gms,652,446,500 gm,Premia,0.89,206,31.6,DMART,500.0,gm,892.0
Moong Dal Chilti : 1 kg,203,154,1 kg,Moong,154.0,49,24.14,DMART,1.0,kg,154.0
Premia Kaju : 500 gms,604,406,500 gm,Premia,0.81,198,32.78,DMART,500.0,gm,812.0
Kalbavi Popular Cashews : 500  gms,649,379,500 gm,Kalbavi,0.76,270,41.6,DMART,500.0,gm,758.0
Premia Kaju Tukda (Cashews) : 200 gms,310,185,200 gm,Premia,0.93,125,40.32,DMART,200.0,gm,925.0
Premia Chowli Premium : 500 gms,100,72,500 gm,Premia,0.93,28,28.0,DMART,500.0,gm,144.0
ProV Select Cashews : 500 gms,849,419,500 gm,ProV,0.84,430,50.65,DMART,500.0,gm,838.0
Kalbavi Cashews (Kaju) : 500 gms,699,429,500 gm,Kalbavi,0.86,270,38.63,DMART,500.0,gm,858.0
Tata Sampann Moong Chilka : 500 gms,109,98,500 gm,Tata,0.2,11,10.09,DMART,500.0,gm,196.0
Premia Kaju Special (Cashews) - 240 : 500 gms,662,492,500 gm,Premia,0.98,170,25.68,DMART,500.0,gm,984.0
Wonderland Cashews : 500 gms,770,409,500 gm,Wonderland,0.82,361,46.88,DMART,500.0,gm,818.0
Premia Cashew Broken : 500 gms,527,386,500 gm,Premia,0.77,141,26.76,DMART,500.0,gm,772.0
Kokan Gem Goa Cashew Classic (Kaju) : 500 gms,650,399,500 gm,Kokan,0.8,251,38.62,DMART,500.0,gm,798.0
DMart Healthy Choice Unpolished Moong Dal : 1 kg,216,162,1 kg,DMart,162.0,54,25.0,DMART,1.0,kg,162.0
Chowli Big : 500 gms,77,56,500 gm,Chowli,0.11,21,27.27,DMART,500.0,gm,112.0
Premia Chowli Red : 500 gms,92,67,500 gm,Premia,0.11,25,27.17,DMART,500.0,gm,134.0
Tata Sampann 100% Organic Unpolished Moong Dal : 1 kg,280,252,1 kg,Tata,252.0,28,10.0,DMART,1.0,kg,252.0
Satyam Moong Dal : 500 gms,132,122,500 gm,Satyam,0.24,10,7.58,DMART,500.0,gm,244.0
Kokan Gem Goa Cashew Premium (Kaju) : 500 gms,750,549,500 gm,Kokan,1.1,201,26.8,DMART,500.0,gm,1098.0
Organic Tattva Moong Dal Yellow Split : 1 kg,310,195,1 kg,Organic,195.0,115,37.1,DMART,1.0,kg,195.0
Premia Kaju (210) Premium : 100 gms,197,114,100 gm,Premia,1.14,83,42.13,DMART,100.0,gm,1140.0
KMK Cashew Nut (Kaju) : 200 gms,325,199,200 gm,KMK,0.99,126,38.77,DMART,200.0,gm,995.0
Nutraj Snack Rite Roasted & Salted Cashew : 150 gms,299,149,150 gm,Nutraj,0.99,150,50.17,DMART,150.0,gm,993.3333333333334
Satyam Moong Chilti : 500 gms,152,141,500 gm,Satyam,0.28,11,7.24,DMART,500.0,gm,282.0
Organic Tattva Moong Dal Whole : 500 gms,145,115,500 gm,Organic,0.23,30,20.69,DMART,500.0,gm,230.0
Satyam Chowla : 500 gms,109,101,500 gm,Satyam,0.2,8,7.34,DMART,500.0,gm,202.0
Premia Chowli Small : 500 gms,144,102,500 gm,Premia,0.2,42,29.17,DMART,500.0,gm,204.0
Premia Moong Dal Chilti : 1 Kg,203,159,1 kg,Premia,0.2,44,21.67,DMART,1.0,kg,159.0
Premia Moong Dal Chilti: 500gms,112,79,500 gm,Premia,0.2,33,29.46,DMART,500.0,gm,158.0
Tur Dal Latur : 1 kg,291,225,1 kg,Tur,225.0,66,22.68,DMART,1.0,kg,225.0
Tata Sampann Toor Dal : 1 kg,299,269,1 kg,Tata,269.0,30,10.03,DMART,1.0,kg,269.0
Tur Dal Premium Gujarat : 1 kg,303,239,1 kg,Tur,239.0,64,21.12,DMART,1.0,kg,239.0
Turdal Latur: 500 gms,155,109,500 gm,Turdal,239.0,46,29.68,DMART,500.0,gm,218.0
Nutraj Pista : 400 gms,699,379,400 gm,Nutraj,0.95,320,45.78,DMART,400.0,gm,947.5
ProV Select California Roasted & Salted Pistachios : 400 gms,799,389,400 gm,ProV,0.97,410,51.31,DMART,400.0,gm,972.5
DMart Healthy Choice Unpolished Toor Dal : 1 kg,333,235,1 kg,DMart,235.0,98,29.43,DMART,1.0,kg,235.0
Tata Sampann 100% Organic Unpolished Toor Dal : 1 kg,299,269,1 kg,Tata,269.0,30,10.03,DMART,1.0,kg,269.0
Organic Tattva Arhar Tur Dal : 1 kg,365,245,1 kg,Organic,245.0,120,32.88,DMART,1.0,kg,245.0
Premia Pista Plain (Pistachios) : 100 gms,394,237,100 gm,Premia,2.37,157,39.85,DMART,100.0,gm,2370.0
Nutraj Premium California Pistachios (Pista) : 200 gms,379,259,200 gm,Nutraj,1.29,120,31.66,DMART,200.0,gm,1295.0
Premia Soyawadi : 200 gms,42,24,200 gm,Premia,0.12,18,42.86,DMART,200.0,gm,120.0
Satyam Tur (Toor) Dal : 500 gm,162,150,500 gm,Satyam,0.3,12,7.41,DMART,500.0,gm,300.0
Nutraj Iranian Pistachios (Pista) : 200 gms,449,289,200 gm,Nutraj,1.45,160,35.63,DMART,200.0,gm,1445.0
Toor Dal Plain : 5 kgs,1200,962,5 kg,Toor,192.4,238,19.83,DMART,5.0,kg,192.4
Nutrela Soya Mini Chunks : 200 gms,60,52,200 gm,Nutrela,0.26,8,13.33,DMART,200.0,gm,260.0
Premia Mini Soya Chunks : 200 gms,45,24,200 gm,Premia,0.12,21,46.67,DMART,200.0,gm,120.0
Premia Pista Salty (Pistachio) : 200 gms,455,295,200 gm,Premia,1.48,160,35.16,DMART,200.0,gm,1475.0
KMK Pista Magaz : 200 gms,575,475,200 gm,KMK,2.38,100,17.39,DMART,200.0,gm,2375.0
Nutraj Plain Pistachio Kernel : 100 gms,299,229,100 gm,Nutraj,2.29,70,23.41,DMART,100.0,gm,2290.0
Nutrela Soya Chunks : 200 gms,60,52,200 gm,Nutrela,0.26,8,13.33,DMART,200.0,gm,260.0
Premia Soyabean : 500 gms,76,58,500 gm,Premia,0.12,18,23.68,DMART,500.0,gm,116.0
Nutrela Soya Granules : 200 gms,60,50,200 gm,Nutrela,0.25,10,16.67,DMART,200.0,gm,250.0
KMK Pista Salted Irani (Pistachios) : 200 gms,319,249,200 gm,KMK,1.25,70,21.94,DMART,200.0,gm,1245.0
Swaad Pista : 400 gms,584,375,400 gm,Swaad,0.94,209,35.79,DMART,400.0,gm,937.5
Satyam Toor Dal Oily : 500 gms,162,149,500 gm,Satyam,0.3,13,8.02,DMART,500.0,gm,298.0
Nutraj Roasted & Salted Pista : 100 gms,199,129,100 gm,Nutraj,1.29,70,35.18,DMART,100.0,gm,1290.0
Premia Udid Dal : 500 gms,134,92,500 gm,Premia,1.29,42,31.34,DMART,500.0,gm,184.0
Desi Kabuli Chana : 500 gms,173,119,500 gm,Desi,0.24,54,31.21,DMART,500.0,gm,238.0
Date Crown Fard (Khajur) : 500 gms,288,185,500 gm,Date,0.37,103,35.76,DMART,500.0,gm,370.0
Tata Sampann Urad Dal : 1 kg,224,201,1 kg,Tata,201.0,23,10.27,DMART,1.0,kg,201.0
Udid (Urad) Dal Chilti : 500 gms,112,78,500 gm,Udid,0.16,34,30.36,DMART,500.0,gm,156.0
Satyam Kabuli Chana : 500 gms,188,174,500 gm,Satyam,0.35,14,7.45,DMART,500.0,gm,348.0
Premia Red Dried Dates (Kharik) : 500 gms,361,267,500 gm,Premia,0.53,94,26.04,DMART,500.0,gm,534.0
Nutraj Arabian Premium Dates : 500 gms,199,119,500 gm,Nutraj,0.26,80,40.2,DMART,500.0,gm,238.0
Falcon UAE Dates Seedless (Khajur) : 500 gms,200,159,500 gm,Falcon,0.32,41,20.5,DMART,500.0,gm,318.0
Shamim Iranian Wet Dates : 400 gms,200,153,400 gm,Shamim,0.38,47,23.5,DMART,400.0,gm,382.5
Tata Sampann Organic Unpolished Kabuli Chana : 500 gms,160,144,500 gm,Tata,0.29,16,10.0,DMART,500.0,gm,288.0
Emperor Dates Iranian Muzafati : 400 gms,200,140,400 gm,Emperor,0.35,60,30.0,DMART,400.0,gm,350.0
Organic Tattva Kabuli Chana : 500 gms,199,117,500 gm,Organic,0.23,82,41.21,DMART,500.0,gm,234.0
Date Crown Bumaan Dates : 500 gms,150,75,500 gm,Date,0.15,75,50.0,DMART,500.0,gm,150.0
Emperor Royal Peacock Seeded Dates (Khajur) : 500 gms,125,93,500 gm,Emperor,0.19,32,25.6,DMART,500.0,gm,186.0
Emperor Dates - Deseeded Dates : 500 gms,150,120,500 gm,Emperor,0.24,30,20.0,DMART,500.0,gm,240.0
Nutraj Dry Dates (Chuara-Khareek) : 500 gms,249,189,500 gm,Nutraj,0.38,60,24.1,DMART,500.0,gm,378.0
Apis Royal Zahidi Premium Dates : 500 gms,125,109,500 gm,Apis,0.22,16,12.8,DMART,500.0,gm,218.0
Falcon Safawi Dates : 500 gms,535,414,500 gm,Falcon,0.83,121,22.62,DMART,500.0,gm,828.0
Nutraj Fard Premium Dates : 500 gms,299,209,500 gm,Nutraj,0.42,90,30.1,DMART,500.0,gm,418.0
Satyam Udid (Urad) Dal : 500 gms,146,135,500 gm,Satyam,0.27,11,7.53,DMART,500.0,gm,270.0
King Solomon Medjoul Natural Dates : 500 gms,990,750,500 gm,King,1.5,240,24.24,DMART,500.0,gm,1500.0
Premia Black Dried Dates (Kharik) : 200 gms,175,110,200 gm,Premia,0.55,65,37.14,DMART,200.0,gm,550.0
Falcon Aqaba Dates : 500 gms,150,115,500 gm,Falcon,0.23,35,23.33,DMART,500.0,gm,230.0
Emperor Premium Dates Zahidi : 500 gms,150,99,500 gm,Emperor,0.2,51,34.0,DMART,500.0,gm,198.0
Falcon UAE Dates Seeded : 500 gms,165,119,500 gm,Falcon,0.24,46,27.88,DMART,500.0,gm,238.0
Emperor Dates - Dates with Seed : 500 gms,110,85,500 gm,Emperor,0.17,25,22.73,DMART,500.0,gm,170.0
Tata Sampann Organic Unpolished Urad Dal : 500 gms,145,130,500 gm,Tata,0.26,15,10.34,DMART,500.0,gm,260.0
Organic Tattva Urad Dal White Split : 500 gms,170,135,500 gm,Organic,0.27,35,20.59,DMART,500.0,gm,270.0
King Solomon Oriental Dates : 250 gms,249,124,250 gm,King,0.5,125,50.2,DMART,250.0,gm,496.0
Date Crown Khenaizi (Khajur) : 500 gms,252,185,500 gm,Date,0.37,67,26.59,DMART,500.0,gm,370.0
Royal Delight Finest Oman Dates : 400 gms,249,195,400 gm,Royal,0.49,54,21.69,DMART,400.0,gm,487.5
Organic Tattva Urad Dal Whole White : 500 gms,175,115,500 gm,Organic,0.23,60,34.29,DMART,500.0,gm,230.0
Azmah Dates : 500 gms,625,464,500 gm,Azmah,0.93,161,25.76,DMART,500.0,gm,928.0
Royal Delight Finest Ajwa Dates : 250 gms,549,390,250 gm,Royal,1.56,159,28.96,DMART,250.0,gm,1560.0
Falcon Zahdi Dates Seedless : 500 gms,160,121,500 gm,Falcon,0.24,39,24.38,DMART,500.0,gm,242.0
Al Barakah Emirates Dates : 500 gms,220,110,500 gm,Al,0.22,110,50.0,DMART,500.0,gm,220.0
Falcon Zahdi Dates Seeded : 500 gms,125,105,500 gm,Falcon,0.21,20,16.0,DMART,500.0,gm,210.0
Nutraj Dry Dates (Yellow) Chuara-Kharek Pouch : 500 gms,249,189,500 gm,Nutraj,0.38,60,24.1,DMART,500.0,gm,378.0
Premia Udid Dal Chilti : 500 gms,115,85,500 gm,Premia,0.38,30,26.09,DMART,500.0,gm,170.0
Premia Udid Dal: 1Kg,233,168,1 kg,Premia,0.38,65,27.9,DMART,1.0,kg,168.0
Masoor Dal : 1 kg,135,108,1 kg,Masoor,108.0,27,20.0,DMART,1.0,kg,108.0
Premia Kismis Indian (Raisins) : 500 gms,178,124,500 gm,Premia,0.25,54,30.34,DMART,500.0,gm,248.0
Premia Chana Big : 500 gms,98,78,500 gm,Premia,0.25,20,20.41,DMART,500.0,gm,156.0
Premia Masoor Whole : 500 gms,68,54,500 gm,Premia,0.25,14,20.59,DMART,500.0,gm,108.0
